finca_id,abandon_score,activity_status,median_ndvi,std_deviation,cv_percent,valid_periods
finca_00001,85.0,inactive,0.10480122505529535,0.013395143992913196,12.8,12
finca_00002,85.0,inactive,0.06648992724266482,0.008089709932174179,12.2,13
finca_00003,85.0,inactive,0.19684505716009976,0.026666281123059774,13.5,13
finca_00004,85.0,inactive,0.1131503148648669,0.016057298496763357,14.2,13
finca_00005,85.0,inactive,0.15544817272645722,0.023614343591928762,15.2,13
finca_00006,85.0,inactive,0.1666622726454861,0.02597272331128654,15.6,13
finca_00007,85.0,inactive,0.21385112227001438,0.029556452157752433,13.8,13
finca_00008,85.0,inactive,0.215653091461325,0.027674056197741433,12.8,12
finca_00009,85.0,inactive,0.1753855312185744,0.023560369289213103,13.4,13
finca_00010,85.0,inactive,0.21351900185288838,0.08137098879620312,38.1,13
finca_00011,85.0,inactive,0.06769204963347643,0.008671533629986251,12.8,13
finca_00012,85.0,inactive,0.09397507301199973,0.019798380188486803,21.1,13
finca_00013,85.0,inactive,0.10488388427278963,0.019457381945216824,18.6,13
finca_00014,85.0,inactive,0.07704898678960817,0.007973235496159659,10.3,13
finca_00015,85.0,inactive,0.07138500692100608,0.007851482346283797,11.0,13
finca_00016,85.0,inactive,0.05775548171500877,0.00870522599298237,15.1,13
finca_00017,54.2,potential,0.3578584546445405,0.05154324221050708,14.4,13
finca_00018,85.0,inactive,0.26291642291217554,0.0255773008478582,9.7,13
finca_00019,67.8,potential,0.38573516135664343,0.02443805911929651,6.3,13
finca_00020,90.6,potential,0.31527070701801563,0.018792506318732638,6.0,13
finca_00021,85.0,inactive,0.2848825811556977,0.017345250549460525,6.1,13
finca_00022,85.0,inactive,0.28457705395504274,0.02664148056057495,9.4,13
finca_00023,85.0,inactive,0.16810201684688977,0.02557473282317827,15.2,13
finca_00024,85.0,inactive,0.2078917132907,0.03978580596719209,19.1,13
finca_00025,85.0,inactive,0.26497522023027814,0.025328690433410187,9.6,12
finca_00026,85.0,inactive,0.2620794743339422,0.04157147599553805,15.9,13
finca_00027,85.0,inactive,0.11176419121847841,0.03649367940911233,32.7,13
finca_00028,85.0,inactive,0.18694801661489371,0.02996013520945276,16.0,13
finca_00029,85.0,inactive,0.1650787930747686,0.02722316314228891,16.5,13
finca_00030,85.0,inactive,0.10555487278640115,0.024983411261280328,23.7,13
finca_00031,85.0,inactive,0.21565481091605163,0.025449753037723802,11.8,13
finca_00032,85.0,inactive,0.27483535407222015,0.030058877894426884,10.9,13
finca_00033,85.0,inactive,0.22754919396111167,0.04422775557949256,19.4,13
finca_00034,85.0,inactive,0.18381176198848345,0.0891792153487667,48.5,12
finca_00035,85.0,inactive,0.2623051516369705,0.03845054345735407,14.7,12
finca_00036,85.0,inactive,0.23874119681878106,0.08814611892470435,36.9,12
finca_00037,85.0,inactive,0.2210321412015916,0.06769616810361356,30.6,12
finca_00038,85.0,inactive,0.21773947644382363,0.07349778538558996,33.8,12
finca_00039,85.0,inactive,0.2700684728324699,0.06045706343828388,22.4,12
finca_00040,85.0,inactive,0.20935332979174637,0.09045973157557656,43.2,12
finca_00041,85.0,inactive,0.23043140957144856,0.06969611685380588,30.2,12
finca_00042,85.0,inactive,0.23421531449344743,0.07821005742206931,33.4,12
finca_00043,85.0,inactive,0.22578871564156616,0.056905287127368184,25.2,12
finca_00044,85.0,inactive,0.1651559691673424,0.14195795268638522,86.0,11
finca_00045,85.0,inactive,0.23378323465062698,0.09010075941308571,38.5,11
finca_00046,85.0,inactive,0.27498727111785676,0.08122877950953221,29.5,11
finca_00047,85.0,inactive,0.25703645923186713,0.06698104177095998,26.1,11
finca_00048,85.0,inactive,0.23213379171464596,0.05992156731744819,25.8,11
